trading_date,contract,price,contract_type,delivery_start,delivery_end
04/01/2021,2022,16.31,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
05/01/2021,2022,15.94,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
06/01/2021,2022,15.72,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
07/01/2021,2022,16.23,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
08/01/2021,2022,16.44,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
11/01/2021,2022,16.58,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
12/01/2021,2022,16.97,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
13/01/2021,2022,16.51,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
14/01/2021,2022,16.51,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
15/01/2021,2022,16.29,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
18/01/2021,2022,16.25,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
19/01/2021,2022,16.74,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
20/01/2021,2022,16.77,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
21/01/2021,2022,16.8,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
22/01/2021,2022,16.8,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
25/01/2021,2022,16.56,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
26/01/2021,2022,16.57,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
27/01/2021,2022,16.67,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
28/01/2021,2022,16.86,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
29/01/2021,2022,16.82,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
01/02/2021,2022,16.6,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
02/02/2021,2022,16.66,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
03/02/2021,2022,16.85,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
04/02/2021,2022,16.98,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
05/02/2021,2022,17.25,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
08/02/2021,2022,17.7,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
09/02/2021,2022,17.57,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
10/02/2021,2022,17.43,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
11/02/2021,2022,17.09,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
12/02/2021,2022,17.16,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
15/02/2021,2022,17.03,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
16/02/2021,2022,16.98,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
17/02/2021,2022,16.98,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
18/02/2021,2022,17.16,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
19/02/2021,2022,16.89,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
22/02/2021,2022,16.63,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
23/02/2021,2022,16.83,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
24/02/2021,2022,17,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
25/02/2021,2022,16.8,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
26/02/2021,2022,16.75,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
01/03/2021,2022,16.86,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
02/03/2021,2022,16.82,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
03/03/2021,2022,16.73,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
04/03/2021,2022,16.91,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
05/03/2021,2022,17.24,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
08/03/2021,2022,17.22,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
09/03/2021,2022,17.52,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
10/03/2021,2022,17.92,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
11/03/2021,2022,18.15,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
12/03/2021,2022,18.36,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
15/03/2021,2022,18.14,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
16/03/2021,2022,17.95,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
17/03/2021,2022,18.07,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
18/03/2021,2022,18.01,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
19/03/2021,2022,17.71,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
22/03/2021,2022,18.14,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
23/03/2021,2022,18.16,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
24/03/2021,2022,18.23,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
25/03/2021,2022,18.02,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
26/03/2021,2022,18.15,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
29/03/2021,2022,18.06,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
30/03/2021,2022,18.24,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
31/03/2021,2022,18.26,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
01/04/2021,2022,18.33,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
06/04/2021,2022,18.57,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
07/04/2021,2022,18.3,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
08/04/2021,2022,18.11,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
09/04/2021,2022,18.05,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
12/04/2021,2022,18.32,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
13/04/2021,2022,18.18,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
14/04/2021,2022,18.25,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
15/04/2021,2022,18.58,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
16/04/2021,2022,18.73,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
19/04/2021,2022,18.91,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
20/04/2021,2022,18.97,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
21/04/2021,2022,19.02,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
22/04/2021,2022,19.16,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
23/04/2021,2022,18.75,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
26/04/2021,2022,18.54,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
27/04/2021,2022,19.08,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
28/04/2021,2022,19.22,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
29/04/2021,2022,19.82,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
30/04/2021,2022,20.08,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
03/05/2021,2022,20.59,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
04/05/2021,2022,20.3,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
05/05/2021,2022,20.53,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
06/05/2021,2022,20.93,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
07/05/2021,2022,20.86,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
10/05/2021,2022,21.7,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
11/05/2021,2022,22.1,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
12/05/2021,2022,22.7,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
13/05/2021,2022,22.36,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
14/05/2021,2022,22.58,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
17/05/2021,2022,22.35,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
18/05/2021,2022,21.39,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
19/05/2021,2022,19.82,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
20/05/2021,2022,20.93,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
21/05/2021,2022,20.88,year,2022-01-01 00:00:00+01:00,2022-12-31 23:00:00+01:00
